"Target gene symbol","Target gene ID","Target gene type","Target gene exp. level","Binding site records"
"BMPER","ENSG00000164619","protein_coding","BMPER","4"
"BMS1","ENSG00000165733","protein_coding","BMS1","1"
"BMS1P10","ENSG00000237238","pseudogene","BMS1P10","1"
"BRAF","ENSG00000157764","protein_coding","BRAF","2"
"BRD2","ENSG00000204256","protein_coding","BRD2","8"
"BRD7","ENSG00000166164","protein_coding","BRD7","2"
"BRIX1","ENSG00000113460","protein_coding","BRIX1","1"
"BRPF3","ENSG00000096070","protein_coding","BRPF3","11"
"BTBD1","ENSG00000064726","protein_coding","BTBD1","3"
"BTF3","ENSG00000145741","protein_coding","BTF3","7"
"BTN2A1","ENSG00000112763","protein_coding","BTN2A1","5"
"BZW2","ENSG00000136261","protein_coding","BZW2","12"
"C10orf32","ENSG00000166275","protein_coding","C10orf32","2"
"C10orf32-ASMT","ENSG00000270316","protein_coding","C10orf32-ASMT","1"
"C11orf57","ENSG00000150776","protein_coding","C11orf57","1"
"C11orf84","ENSG00000168005","protein_coding","C11orf84","1"
"C12orf43","ENSG00000157895","protein_coding","C12orf43","10"
"C14orf142","ENSG00000170270","protein_coding","C14orf142","1"
"C14orf2","ENSG00000156411","protein_coding","C14orf2","6"
"C16orf72","ENSG00000182831","protein_coding","C16orf72","1"
"C17orf58","ENSG00000186665","protein_coding","C17orf58","3"
"C17orf70","ENSG00000185504","protein_coding","C17orf70","5"
"C17orf75","ENSG00000108666","protein_coding","C17orf75","4"
"C17orf76-AS1","ENSG00000175061","processed_transcript","C17orf76-AS1","14"
"C19orf52","ENSG00000142444","protein_coding","C19orf52","1"
"C1orf167","ENSG00000215910","protein_coding","C1orf167","2"
"C1orf213","ENSG00000249087","protein_coding","C1orf213","1"
"C1orf220","ENSG00000213057","protein_coding","C1orf220","3"
"C1orf43","ENSG00000143612","protein_coding","C1orf43","3"
"C1orf86","ENSG00000162585","protein_coding","C1orf86","5"
"C1QBP","ENSG00000108561","protein_coding","C1QBP","8"
"C1S","ENSG00000182326","protein_coding","C1S","1"
"C20orf24","ENSG00000101084","protein_coding","C20orf24","6"
"C22orf24","ENSG00000128254","protein_coding","C22orf24","2"
"C22orf29","ENSG00000215012","protein_coding","C22orf29","3"
"C22orf39","ENSG00000242259","protein_coding","C22orf39","1"
"C2CD5","ENSG00000111731","protein_coding","C2CD5","11"
"C2orf43","ENSG00000118961","protein_coding","C2orf43","10"
"C2orf48","ENSG00000163009","protein_coding","C2orf48","1"
"C2orf49","ENSG00000135974","protein_coding","C2orf49","1"
"C2orf69","ENSG00000178074","protein_coding","C2orf69","1"
