"Target gene symbol","Target gene ID","Target gene type","Target gene exp. level","Binding site records"
"MT-ND4L","ENSG00000212907","protein_coding","MT-ND4L","2"
"MT-ND5","ENSG00000198786","protein_coding","MT-ND5","6"
"MT-ND6","ENSG00000198695","protein_coding","MT-ND6","2"
"MT-RNR1","ENSG00000211459","Mt_rRNA","MT-RNR1","8"
"MT-RNR2","ENSG00000210082","Mt_rRNA","MT-RNR2","16"
"MT-TI","ENSG00000210100","Mt_tRNA","MT-TI","1"
"MT-TL1","ENSG00000209082","Mt_tRNA","MT-TL1","1"
"MT-TP","ENSG00000210196","Mt_tRNA","MT-TP","1"
"MTA1","ENSG00000182979","protein_coding","MTA1","14"
"MTIF2","ENSG00000085760","protein_coding","MTIF2","3"
"MTPN","ENSG00000105887","protein_coding","MTPN","1"
"MTRF1","ENSG00000120662","protein_coding","MTRF1","4"
"MTRNR2L6","ENSG00000270672","protein_coding","MTRNR2L6","1"
"MTUS2","ENSG00000132938","protein_coding","MTUS2","1"
"MUC16","ENSG00000181143","protein_coding","MUC16","1"
"MVP","ENSG00000013364","protein_coding","MVP","13"
"MYEOV2","ENSG00000172428","protein_coding","MYEOV2","1"
"MYH9","ENSG00000100345","protein_coding","MYH9","2"
"MYO16","ENSG00000041515","protein_coding","MYO16","4"
"MYO18A","ENSG00000196535","protein_coding","MYO18A","4"
"MYO1B","ENSG00000128641","protein_coding","MYO1B","5"
"MYO5A","ENSG00000197535","protein_coding","MYO5A","4"
"MYO9A","ENSG00000066933","protein_coding","MYO9A","7"
"MZT2A","ENSG00000173272","protein_coding","MZT2A","4"
"N4BP1","ENSG00000102921","protein_coding","N4BP1","4"
"NAA20","ENSG00000173418","protein_coding","NAA20","6"
"NAA25","ENSG00000111300","protein_coding","NAA25","2"
"NACA","ENSG00000196531","protein_coding","NACA","11"
"NANP","ENSG00000170191","protein_coding","NANP","1"
"NAP1L1","ENSG00000187109","protein_coding","NAP1L1","12"
"NASP","ENSG00000132780","protein_coding","NASP","4"
"NBR1","ENSG00000188554","protein_coding","NBR1","4"
"NCAPD3","ENSG00000151503","protein_coding","NCAPD3","3"
"NCAPH2","ENSG00000025770","protein_coding","NCAPH2","3"
"NCBP2","ENSG00000114503","protein_coding","NCBP2","2"
"NCK2","ENSG00000071051","protein_coding","NCK2","3"
"NCKAP5","ENSG00000176771","protein_coding","NCKAP5","4"
"NCL","ENSG00000115053","protein_coding","NCL","10"
"NCLN","ENSG00000125912","protein_coding","NCLN","4"
"NDC1","ENSG00000058804","protein_coding","NDC1","3"
"NDST1","ENSG00000070614","protein_coding","NDST1","2"
"NDUFA12","ENSG00000184752","protein_coding","NDUFA12","1"
"NDUFA8","ENSG00000119421","protein_coding","NDUFA8","1"
"NDUFA9P1","ENSG00000237406","pseudogene","NDUFA9P1","1"
"NDUFAB1","ENSG00000004779","protein_coding","NDUFAB1","3"
"NDUFAF4","ENSG00000123545","protein_coding","NDUFAF4","1"
"NDUFAF6","ENSG00000156170","protein_coding","NDUFAF6","5"
"NDUFB10","ENSG00000140990","protein_coding","NDUFB10","3"
"NDUFB11","ENSG00000147123","protein_coding","NDUFB11","2"
"NDUFB2","ENSG00000090266","protein_coding","NDUFB2","6"
"NDUFB7","ENSG00000099795","protein_coding","NDUFB7","2"
"NDUFS3","ENSG00000213619","protein_coding","NDUFS3","5"
"NDUFS6","ENSG00000145494","protein_coding","NDUFS6","3"
"NDUFS8","ENSG00000110717","protein_coding","NDUFS8","5"
"NEAT1","ENSG00000245532","lincRNA","NEAT1","1"
"NEK1","ENSG00000137601","protein_coding","NEK1","6"
"NEK9","ENSG00000119638","protein_coding","NEK9","1"
"NENF","ENSG00000117691","protein_coding","NENF","1"
"NFE2L2","ENSG00000116044","protein_coding","NFE2L2","5"
"NFIA","ENSG00000162599","protein_coding","NFIA","14"
"NHP2","ENSG00000145912","protein_coding","NHP2","2"
"NHP2L1","ENSG00000100138","protein_coding","NHP2L1","4"
"NID1","ENSG00000116962","protein_coding","NID1","2"
"NIPA2","ENSG00000140157","protein_coding","NIPA2","3"
"NIPAL3","ENSG00000001461","protein_coding","NIPAL3","1"
"NKIRAS1","ENSG00000197885","protein_coding","NKIRAS1","1"
"NLGN1","ENSG00000169760","protein_coding","NLGN1","5"
"NLK","ENSG00000087095","protein_coding","NLK","2"
"NME1","ENSG00000239672","protein_coding","NME1","11"
"NME1-NME2","ENSG00000243678","protein_coding","NME1-NME2","9"
"NME2","ENSG00000011052","protein_coding","NME2","6"
"NNT","ENSG00000112992","protein_coding","NNT","2"
"NOC3L","ENSG00000173145","protein_coding","NOC3L","3"
"NOL11","ENSG00000130935","protein_coding","NOL11","3"
"NOLC1","ENSG00000166197","protein_coding","NOLC1","9"
"NONO","ENSG00000147140","protein_coding","NONO","6"
"NOP14","ENSG00000087269","protein_coding","NOP14","4"
"NOP56","ENSG00000101361","protein_coding","NOP56","4"
"NOTCH2NL","ENSG00000213240","protein_coding","NOTCH2NL","3"
"NPAS3","ENSG00000151322","protein_coding","NPAS3","9"
"NPLOC4","ENSG00000182446","protein_coding","NPLOC4","5"
"NPTN","ENSG00000156642","protein_coding","NPTN","12"
"NRARP","ENSG00000198435","protein_coding","NRARP","1"
"NREP","ENSG00000134986","protein_coding","NREP","2"
"NRF1","ENSG00000106459","protein_coding","NRF1","14"
"NRP1","ENSG00000099250","protein_coding","NRP1","3"
"NSF","ENSG00000073969","protein_coding","NSF","3"
"NSG2","ENSG00000170091","protein_coding","NSG2","1"
"NSUN2","ENSG00000037474","protein_coding","NSUN2","5"
"NSUN3","ENSG00000178694","protein_coding","NSUN3","1"
"NTAN1","ENSG00000157045","protein_coding","NTAN1","3"
"NUCKS1","ENSG00000069275","protein_coding","NUCKS1","3"
"NUDCD3","ENSG00000015676","protein_coding","NUDCD3","15"
"NUDT5","ENSG00000165609","protein_coding","NUDT5","6"
"NUFIP2","ENSG00000108256","protein_coding","NUFIP2","4"
"NUP107","ENSG00000111581","protein_coding","NUP107","8"
"NUP153","ENSG00000124789","protein_coding","NUP153","2"
"NUP155","ENSG00000113569","protein_coding","NUP155","3"
"NUP62","ENSG00000213024","protein_coding","NUP62","8"
"NUP85","ENSG00000125450","protein_coding","NUP85","12"
"NUP88","ENSG00000108559","protein_coding","NUP88","1"
"NUPL1","ENSG00000139496","protein_coding","NUPL1","1"
"OAZ1","ENSG00000104904","protein_coding","OAZ1","15"
"OAZ2","ENSG00000180304","protein_coding","OAZ2","2"
"OGDHL","ENSG00000197444","protein_coding","OGDHL","3"
"OGT","ENSG00000147162","protein_coding","OGT","1"
"OPA1","ENSG00000198836","protein_coding","OPA1","6"
"OPA3","ENSG00000125741","protein_coding","OPA3","3"
"OPHN1","ENSG00000079482","protein_coding","OPHN1","2"
"OSBP","ENSG00000110048","protein_coding","OSBP","1"
"OSGIN2","ENSG00000164823","protein_coding","OSGIN2","2"
"OVCA2","ENSG00000262664","protein_coding","OVCA2","1"
"OVGP1","ENSG00000085465","protein_coding","OVGP1","2"
"OXNAD1","ENSG00000154814","protein_coding","OXNAD1","7"
"P2RX5","ENSG00000083454","protein_coding","P2RX5","9"
"P2RX5-TAX1BP3","ENSG00000257950","protein_coding","P2RX5-TAX1BP3","1"
"P2RY6","ENSG00000171631","protein_coding","P2RY6","9"
"P4HB","ENSG00000185624","protein_coding","P4HB","10"
"PABPC4","ENSG00000090621","protein_coding","PABPC4","6"
"PACSIN2","ENSG00000100266","protein_coding","PACSIN2","10"
"PAFAH1B2","ENSG00000168092","protein_coding","PAFAH1B2","1"
"PAG1","ENSG00000076641","protein_coding","PAG1","1"
"PAGR1","ENSG00000185928","protein_coding","PAGR1","3"
"PAIP2","ENSG00000120727","protein_coding","PAIP2","2"
"PAK1","ENSG00000149269","protein_coding","PAK1","1"
"PAN2","ENSG00000135473","protein_coding","PAN2","12"
"PANK2","ENSG00000125779","protein_coding","PANK2","5"
"PAPLN","ENSG00000100767","protein_coding","PAPLN","11"
"PARP1","ENSG00000143799","protein_coding","PARP1","1"
"PARVA","ENSG00000197702","protein_coding","PARVA","3"
"PBRM1","ENSG00000163939","protein_coding","PBRM1","9"
"PBX3","ENSG00000167081","protein_coding","PBX3","5"
"PCBP1","ENSG00000169564","protein_coding","PCBP1","1"
"PCBP1-AS1","ENSG00000179818","antisense","PCBP1-AS1","22"
"PCBP2","ENSG00000197111","protein_coding","PCBP2","3"
"PCDH7","ENSG00000169851","protein_coding","PCDH7","4"
"PCGF5","ENSG00000180628","protein_coding","PCGF5","1"
"PCMT1","ENSG00000120265","protein_coding","PCMT1","10"
"PCNA","ENSG00000132646","protein_coding","PCNA","2"
"PCSK5","ENSG00000099139","protein_coding","PCSK5","4"
"PDCD5","ENSG00000105185","protein_coding","PDCD5","7"
"PDE3A","ENSG00000172572","protein_coding","PDE3A","2"
"PDE3B","ENSG00000152270","protein_coding","PDE3B","3"
"PDE4DIP","ENSG00000178104","protein_coding","PDE4DIP","2"
"PDE8B","ENSG00000113231","protein_coding","PDE8B","7"
"PDE9A","ENSG00000160191","protein_coding","PDE9A","25"
"PDHX","ENSG00000110435","protein_coding","PDHX","5"
"PDIA6","ENSG00000143870","protein_coding","PDIA6","5"
"PDRG1","ENSG00000088356","protein_coding","PDRG1","2"
"PDSS1","ENSG00000148459","protein_coding","PDSS1","4"
"PEBP1","ENSG00000089220","protein_coding","PEBP1","1"
"PER3","ENSG00000049246","protein_coding","PER3","2"
"PERP","ENSG00000112378","protein_coding","PERP","1"
"PEX19","ENSG00000162735","protein_coding","PEX19","3"
"PFAS","ENSG00000178921","protein_coding","PFAS","3"
"PFDN4","ENSG00000101132","protein_coding","PFDN4","1"
"PFN1","ENSG00000108518","protein_coding","PFN1","4"
"PGAM5","ENSG00000247077","protein_coding","PGAM5","4"
"PGRMC1","ENSG00000101856","protein_coding","PGRMC1","2"
"PHACTR2","ENSG00000112419","protein_coding","PHACTR2","4"
"PHB2","ENSG00000215021","protein_coding","PHB2","6"
"PHC3","ENSG00000173889","protein_coding","PHC3","6"
"PHF10","ENSG00000130024","protein_coding","PHF10","3"
"PHF17","ENSG00000077684","protein_coding","PHF17","2"
"PHF3","ENSG00000118482","protein_coding","PHF3","7"
"PHF6","ENSG00000156531","protein_coding","PHF6","5"
"PHKB","ENSG00000102893","protein_coding","PHKB","36"
"PID1","ENSG00000153823","protein_coding","PID1","12"
"PIEZO2","ENSG00000154864","protein_coding","PIEZO2","5"
"PIGA","ENSG00000165195","protein_coding","PIGA","4"
"PIGU","ENSG00000101464","protein_coding","PIGU","3"
"PIGW","ENSG00000184886","protein_coding","PIGW","2"
"PIM3","ENSG00000198355","protein_coding","PIM3","2"
"PINK1","ENSG00000158828","protein_coding","PINK1","1"
"PITHD1","ENSG00000057757","protein_coding","PITHD1","2"
"PITX1","ENSG00000069011","protein_coding","PITX1","1"
"PKM","ENSG00000067225","protein_coding","PKM","14"
"PKMYT1","ENSG00000127564","protein_coding","PKMYT1","6"
"PKP4","ENSG00000144283","protein_coding","PKP4","8"
"PLA2R1","ENSG00000153246","protein_coding","PLA2R1","2"
"PLCH1","ENSG00000114805","protein_coding","PLCH1","6"
"PLEKHB2","ENSG00000115762","protein_coding","PLEKHB2","8"
"PLK1","ENSG00000166851","protein_coding","PLK1","2"
"PLOD3","ENSG00000106397","protein_coding","PLOD3","2"
"PLS3","ENSG00000102024","protein_coding","PLS3","5"
"PLXNA3","ENSG00000130827","protein_coding","PLXNA3","1"
"PMAIP1","ENSG00000141682","protein_coding","PMAIP1","10"
"PMF1","ENSG00000160783","protein_coding","PMF1","8"
"PMF1-BGLAP","ENSG00000260238","protein_coding","PMF1-BGLAP","3"
"PNISR","ENSG00000132424","protein_coding","PNISR","6"
"PNMA1","ENSG00000176903","protein_coding","PNMA1","1"
"PNMA2","ENSG00000240694","protein_coding","PNMA2","1"
"PNMAL2","ENSG00000204851","protein_coding","PNMAL2","1"
"PNN","ENSG00000100941","protein_coding","PNN","1"
"POLE3","ENSG00000148229","protein_coding","POLE3","4"
"POLR1A","ENSG00000068654","protein_coding","POLR1A","1"
"POLR2A","ENSG00000181222","protein_coding","POLR2A","1"
"POLR2B","ENSG00000047315","protein_coding","POLR2B","4"
"POLR2D","ENSG00000144231","protein_coding","POLR2D","2"
"POLR2K","ENSG00000147669","protein_coding","POLR2K","1"
"POLR3D","ENSG00000168495","protein_coding","POLR3D","1"
"PPA1","ENSG00000180817","protein_coding","PPA1","3"
"PPFIBP1","ENSG00000110841","protein_coding","PPFIBP1","9"
"PPM1B","ENSG00000138032","protein_coding","PPM1B","3"
"PPM1L","ENSG00000163590","protein_coding","PPM1L","5"
"PPP1CC","ENSG00000186298","protein_coding","PPP1CC","6"
"PPP1R13L","ENSG00000104881","protein_coding","PPP1R13L","2"
"PPP1R14C","ENSG00000198729","protein_coding","PPP1R14C","1"
"PPP2CB","ENSG00000104695","protein_coding","PPP2CB","3"
"PPP2R2C","ENSG00000074211","protein_coding","PPP2R2C","5"
"PPP2R5E","ENSG00000154001","protein_coding","PPP2R5E","7"
"PPP4R1L","ENSG00000124224","protein_coding","PPP4R1L","7"
"PPT1","ENSG00000131238","protein_coding","PPT1","1"
"PPTC7","ENSG00000196850","protein_coding","PPTC7","1"
"PRC1","ENSG00000198901","protein_coding","PRC1","12"
"PRDX1","ENSG00000117450","protein_coding","PRDX1","3"
"PRDX3","ENSG00000165672","protein_coding","PRDX3","4"
"PREB","ENSG00000138073","protein_coding","PREB","3"
"PRELID1","ENSG00000169230","protein_coding","PRELID1","1"
"PREP","ENSG00000085377","protein_coding","PREP","1"
"PRICKLE4","ENSG00000124593","protein_coding","PRICKLE4","2"
"PRIM2","ENSG00000146143","protein_coding","PRIM2","3"
"PRKAG2","ENSG00000106617","protein_coding","PRKAG2","7"
"PRKCA","ENSG00000154229","protein_coding","PRKCA","3"
"PRKDC","ENSG00000253729","protein_coding","PRKDC","4"
"PRKRIR","ENSG00000137492","protein_coding","PRKRIR","2"
"PRKRIRP4","ENSG00000254465","pseudogene","PRKRIRP4","1"
"PRMT1","ENSG00000126457","protein_coding","PRMT1","11"
"PRNP","ENSG00000171867","protein_coding","PRNP","2"
"PRPF39","ENSG00000185246","protein_coding","PRPF39","8"
"PRPF4B","ENSG00000112739","protein_coding","PRPF4B","1"
"PRPF6","ENSG00000101161","protein_coding","PRPF6","2"
"PRPF8","ENSG00000174231","protein_coding","PRPF8","3"
"PRPS2","ENSG00000101911","protein_coding","PRPS2","1"
"PRR5","ENSG00000186654","protein_coding","PRR5","6"
"PRR7","ENSG00000131188","protein_coding","PRR7","3"
"PRSS45","ENSG00000188086","protein_coding","PRSS45","1"
"PRSS50","ENSG00000206549","protein_coding","PRSS50","1"
"PRTG","ENSG00000166450","protein_coding","PRTG","1"
"PSD3","ENSG00000156011","protein_coding","PSD3","4"
"PSMA2","ENSG00000106588","protein_coding","PSMA2","8"
"PSMA3","ENSG00000100567","protein_coding","PSMA3","3"
"PSMA4","ENSG00000041357","protein_coding","PSMA4","16"
"PSMB2","ENSG00000126067","protein_coding","PSMB2","2"
"PSMC4","ENSG00000013275","protein_coding","PSMC4","8"
"PSMC5","ENSG00000087191","protein_coding","PSMC5","8"
"PSMD4","ENSG00000159352","protein_coding","PSMD4","5"
"PSRC1","ENSG00000134222","protein_coding","PSRC1","2"
"PTBP1","ENSG00000011304","protein_coding","PTBP1","8"
"PTBP2","ENSG00000117569","protein_coding","PTBP2","11"
"PTCD3","ENSG00000132300","protein_coding","PTCD3","2"
"PTCHD3P1","ENSG00000224597","antisense","PTCHD3P1","12"
"PTDSS1","ENSG00000156471","protein_coding","PTDSS1","2"
"PTER","ENSG00000165983","protein_coding","PTER","3"
"PTGER4","ENSG00000171522","protein_coding","PTGER4","3"
"PTGES3","ENSG00000110958","protein_coding","PTGES3","5"
"PTGES3P3","ENSG00000229204","pseudogene","PTGES3P3","2"
"PTPLAD1","ENSG00000074696","protein_coding","PTPLAD1","8"
"PTPN14","ENSG00000152104","protein_coding","PTPN14","1"
"PTTG1","ENSG00000164611","protein_coding","PTTG1","2"
"PTX3","ENSG00000163661","protein_coding","PTX3","1"
"PUM1","ENSG00000134644","protein_coding","PUM1","16"
"PURB","ENSG00000146676","protein_coding","PURB","2"
"PUS3","ENSG00000110060","protein_coding","PUS3","4"
"PUS7","ENSG00000091127","protein_coding","PUS7","3"
"PVR","ENSG00000073008","protein_coding","PVR","4"
"PWWP2A","ENSG00000170234","protein_coding","PWWP2A","4"
"QSER1","ENSG00000060749","protein_coding","QSER1","2"
"R3HCC1","ENSG00000104679","protein_coding","R3HCC1","1"
"RAB11B","ENSG00000185236","protein_coding","RAB11B","2"
"RAB12","ENSG00000206418","protein_coding","RAB12","1"
"RAB27B","ENSG00000041353","protein_coding","RAB27B","1"
"RAB3GAP2","ENSG00000118873","protein_coding","RAB3GAP2","1"
"RAD52","ENSG00000002016","protein_coding","RAD52","4"
"RAD54L2","ENSG00000164080","protein_coding","RAD54L2","2"
"RALGAPA2","ENSG00000188559","protein_coding","RALGAPA2","2"
"RAN","ENSG00000132341","protein_coding","RAN","6"
"RANBP17","ENSG00000204764","protein_coding","RANBP17","7"
"RAP1B","ENSG00000127314","protein_coding","RAP1B","31"
"RAP2A","ENSG00000125249","protein_coding","RAP2A","1"
"RAP2C","ENSG00000123728","protein_coding","RAP2C","2"
"RAPGEF1","ENSG00000107263","protein_coding","RAPGEF1","5"
"RARS","ENSG00000113643","protein_coding","RARS","2"
"RASA1","ENSG00000145715","protein_coding","RASA1","5"
"RASGEF1A","ENSG00000198915","protein_coding","RASGEF1A","1"
"RASL10B","ENSG00000141150","protein_coding","RASL10B","1"
"RBAK","ENSG00000146587","protein_coding","RBAK","1"
"RBBP6","ENSG00000122257","protein_coding","RBBP6","8"
"RBBP8","ENSG00000101773","protein_coding","RBBP8","6"
"RBFOX2","ENSG00000100320","protein_coding","RBFOX2","12"
"RBM14-RBM4","ENSG00000248643","protein_coding","RBM14-RBM4","4"
"RBM22","ENSG00000086589","protein_coding","RBM22","2"
"RBM26","ENSG00000139746","protein_coding","RBM26","3"
"RBM27","ENSG00000091009","protein_coding","RBM27","1"
"RBM3","ENSG00000102317","protein_coding","RBM3","8"
"RBM4","ENSG00000173933","protein_coding","RBM4","2"
"RBM5","ENSG00000003756","protein_coding","RBM5","1"
"RBM8A","ENSG00000131795","protein_coding","RBM8A","2"
"RBMXL2","ENSG00000170748","protein_coding","RBMXL2","1"
"RCC1","ENSG00000180198","protein_coding","RCC1","10"
"RCHY1","ENSG00000163743","protein_coding","RCHY1","13"
"REEP1","ENSG00000068615","protein_coding","REEP1","10"
"REEP5","ENSG00000129625","protein_coding","REEP5","1"
"RERE","ENSG00000142599","protein_coding","RERE","2"
"RERG","ENSG00000134533","protein_coding","RERG","6"
"RFWD3","ENSG00000168411","protein_coding","RFWD3","2"
"RHOB","ENSG00000143878","protein_coding","RHOB","1"
"RHOU","ENSG00000116574","protein_coding","RHOU","1"
"RIC8A","ENSG00000177963","protein_coding","RIC8A","1"
"RICTOR","ENSG00000164327","protein_coding","RICTOR","2"
"RIF1","ENSG00000080345","protein_coding","RIF1","12"
"RIMS3","ENSG00000117016","protein_coding","RIMS3","1"
"RING1","ENSG00000204227","protein_coding","RING1","1"
"RLIM","ENSG00000131263","protein_coding","RLIM","1"
"RMND5A","ENSG00000153561","protein_coding","RMND5A","1"
"RMRP","ENSG00000269900","lincRNA","RMRP","2"
"RN7SL272P","ENSG00000242360","misc_RNA","RN7SL272P","1"
"RN7SL559P","ENSG00000240750","misc_RNA","RN7SL559P","1"
"RN7SL568P","ENSG00000239703","misc_RNA","RN7SL568P","1"
"RN7SL634P","ENSG00000242894","misc_RNA","RN7SL634P","1"
"RN7SL665P","ENSG00000264169","misc_RNA","RN7SL665P","1"
"RNA5-8SP2","ENSG00000200434","rRNA","RNA5-8SP2","1"
"RNA5-8SP3","ENSG00000201227","rRNA","RNA5-8SP3","1"
"RNA5-8SP6","ENSG00000251705","rRNA","RNA5-8SP6","1"
"RNA5S9","ENSG00000201321","rRNA","RNA5S9","1"
"RNA5SP202","ENSG00000201185","rRNA","RNA5SP202","1"
"RNA5SP215","ENSG00000200310","rRNA","RNA5SP215","1"
"RNA5SP336","ENSG00000201059","rRNA","RNA5SP336","1"
"RNA5SP452","ENSG00000199874","rRNA","RNA5SP452","1"
"RNASEH2A","ENSG00000104889","protein_coding","RNASEH2A","1"
"RNF138","ENSG00000134758","protein_coding","RNF138","2"
"RNF157","ENSG00000141576","protein_coding","RNF157","3"
"RNF217","ENSG00000146373","protein_coding","RNF217","4"
"RNF220","ENSG00000187147","protein_coding","RNF220","4"
"RNF34","ENSG00000170633","protein_coding","RNF34","1"
"RNF7","ENSG00000114125","protein_coding","RNF7","5"
"RNGTT","ENSG00000111880","protein_coding","RNGTT","4"
"RNPS1P1","ENSG00000250896","pseudogene","RNPS1P1","1"
"RNU1-34P","ENSG00000201291","snRNA","RNU1-34P","1"
"RNU12","ENSG00000270022","lincRNA","RNU12","2"
"RNU2-2P","ENSG00000222328","snRNA","RNU2-2P","1"
"RNU4-2","ENSG00000202538","snRNA","RNU4-2","2"
"RNU5B-1","ENSG00000200156","snRNA","RNU5B-1","1"
"ROBO1","ENSG00000169855","protein_coding","ROBO1","4"
"ROCK1","ENSG00000067900","protein_coding","ROCK1","1"
"ROMO1","ENSG00000125995","protein_coding","ROMO1","4"
"ROR1","ENSG00000185483","protein_coding","ROR1","3"
"RP1-228P16.7","ENSG00000226138","pseudogene","RP1-228P16.7","2"
"RP1-66C13.4","ENSG00000266202","protein_coding","RP1-66C13.4","1"
"RP11-10O22.1","ENSG00000241168","lincRNA","RP11-10O22.1","1"
"RP11-119F19.2","ENSG00000226381","antisense","RP11-119F19.2","2"
"RP11-123O10.4","ENSG00000256248","lincRNA","RP11-123O10.4","1"
"RP11-130F10.1","ENSG00000250131","antisense","RP11-130F10.1","1"
"RP11-148B6.2","ENSG00000250046","lincRNA","RP11-148B6.2","1"
"RP11-159D12.5","ENSG00000266086","protein_coding","RP11-159D12.5","1"
"RP11-159N11.3","ENSG00000256757","antisense","RP11-159N11.3","1"
"RP11-15E18.5","ENSG00000270553","pseudogene","RP11-15E18.5","1"
"RP11-169E6.4","ENSG00000259821","lincRNA","RP11-169E6.4","1"
"RP11-169K16.8","ENSG00000178715","pseudogene","RP11-169K16.8","2"
"RP11-182J1.13","ENSG00000259774","lincRNA","RP11-182J1.13","1"
"RP11-192H23.4","ENSG00000258472","protein_coding","RP11-192H23.4","1"
"RP11-210G22.1","ENSG00000273360","antisense","RP11-210G22.1","1"
"RP11-212P7.1","ENSG00000213280","pseudogene","RP11-212P7.1","1"
"RP11-217B1.2","ENSG00000261441","antisense","RP11-217B1.2","1"
"RP11-227D2.3","ENSG00000225280","antisense","RP11-227D2.3","1"
"RP11-23D24.2","ENSG00000238755","processed_transcript","RP11-23D24.2","1"
"RP11-260O18.1","ENSG00000239440","lincRNA","RP11-260O18.1","2"
"RP11-266O8.1","ENSG00000257060","lincRNA","RP11-266O8.1","1"
"RP11-268G12.3","ENSG00000242021","lincRNA","RP11-268G12.3","1"
"RP11-284F21.7","ENSG00000229953","antisense","RP11-284F21.7","1"
"RP11-284N8.3","ENSG00000259834","lincRNA","RP11-284N8.3","1"
"RP11-318A15.7","ENSG00000267168","protein_coding","RP11-318A15.7","1"
"RP11-332H18.5","ENSG00000267131","antisense","RP11-332H18.5","1"
"RP11-338N10.1","ENSG00000270171","lincRNA","RP11-338N10.1","1"
"RP11-33B1.1","ENSG00000245958","pseudogene","RP11-33B1.1","2"
"RP11-367H5.8","ENSG00000232142","pseudogene","RP11-367H5.8","1"
"RP11-36C20.1","ENSG00000240376","pseudogene","RP11-36C20.1","1"
"RP11-398G24.2","ENSG00000254303","lincRNA","RP11-398G24.2","1"
"RP11-436D23.1","ENSG00000271860","lincRNA","RP11-436D23.1","1"
"RP11-446E24.4","ENSG00000256407","protein_coding","RP11-446E24.4","2"
"RP11-458D21.5","ENSG00000255168","protein_coding","RP11-458D21.5","1"
"RP11-473M20.16","ENSG00000261889","lincRNA","RP11-473M20.16","1"
"RP11-475J5.6","ENSG00000270906","pseudogene","RP11-475J5.6","1"
"RP11-509J21.1","ENSG00000232104","lincRNA","RP11-509J21.1","1"
"RP11-525K10.3","ENSG00000259867","antisense","RP11-525K10.3","3"
"RP11-527F13.1","ENSG00000231842","lincRNA","RP11-527F13.1","1"
"RP11-532M24.1","ENSG00000272486","antisense","RP11-532M24.1","1"
"RP11-545D19.1","ENSG00000233571","lincRNA","RP11-545D19.1","1"
"RP11-554D15.1","ENSG00000223786","lincRNA","RP11-554D15.1","1"
"RP11-557H15.3","ENSG00000231971","lincRNA","RP11-557H15.3","1"
"RP11-584P21.2","ENSG00000250075","lincRNA","RP11-584P21.2","1"
"RP11-658F2.3","ENSG00000213409","pseudogene","RP11-658F2.3","1"
"RP11-664D7.4","ENSG00000248801","protein_coding","RP11-664D7.4","4"
"RP11-673C5.1","ENSG00000259781","pseudogene","RP11-673C5.1","1"
"RP11-700P18.2","ENSG00000224155","pseudogene","RP11-700P18.2","1"
"RP11-73M18.2","ENSG00000256500","protein_coding","RP11-73M18.2","1"
"RP11-793H13.8","ENSG00000257379","processed_transcript","RP11-793H13.8","1"
"RP11-798M19.3","ENSG00000248774","antisense","RP11-798M19.3","1"
"RP11-867G23.8","ENSG00000255468","protein_coding","RP11-867G23.8","2"
"RP11-879F14.1","ENSG00000267175","lincRNA","RP11-879F14.1","2"
"RP11-89K10.1","ENSG00000254286","antisense","RP11-89K10.1","3"
"RP11-944L7.4","ENSG00000236869","antisense","RP11-944L7.4","1"
"RP11-950C14.3","ENSG00000258646","antisense","RP11-950C14.3","1"
"RP11-977G19.11","ENSG00000257303","antisense","RP11-977G19.11","2"
"RP13-279N23.2","ENSG00000255275","protein_coding","RP13-279N23.2","1"
"RP13-996F3.3","ENSG00000259472","pseudogene","RP13-996F3.3","5"
"RP4-548D19.3","ENSG00000272661","antisense","RP4-548D19.3","1"
"RP4-561L24.3","ENSG00000260464","lincRNA","RP4-561L24.3","2"
"RP4-614O4.11","ENSG00000261582","antisense","RP4-614O4.11","1"
"RP4-665J23.1","ENSG00000233593","lincRNA","RP4-665J23.1","1"
"RP5-991G20.1","ENSG00000259768","antisense","RP5-991G20.1","1"
"RP6-24A23.6","ENSG00000260548","protein_coding","RP6-24A23.6","1"
"RPA2","ENSG00000117748","protein_coding","RPA2","1"
"RPA3-AS1","ENSG00000219545","protein_coding","RPA3-AS1","7"
"RPL11","ENSG00000142676","protein_coding","RPL11","7"
"RPL13P12","ENSG00000215030","pseudogene","RPL13P12","2"
"RPL15","ENSG00000174748","protein_coding","RPL15","4"
"RPL17","ENSG00000265681","protein_coding","RPL17","2"
"RPL18","ENSG00000063177","protein_coding","RPL18","7"
"RPL22","ENSG00000116251","protein_coding","RPL22","1"
"RPL23","ENSG00000125691","protein_coding","RPL23","18"
"RPL23A","ENSG00000198242","protein_coding","RPL23A","1"
"RPL27","ENSG00000131469","protein_coding","RPL27","5"
"RPL27A","ENSG00000166441","protein_coding","RPL27A","1"
"RPL28","ENSG00000108107","protein_coding","RPL28","6"
"RPL3","ENSG00000100316","protein_coding","RPL3","7"
"RPL30","ENSG00000156482","protein_coding","RPL30","4"
"RPL30P5","ENSG00000239525","pseudogene","RPL30P5","1"
"RPL32","ENSG00000144713","protein_coding","RPL32","5"
"RPL34","ENSG00000109475","protein_coding","RPL34","5"
"RPL35","ENSG00000136942","protein_coding","RPL35","3"
"RPL35A","ENSG00000182899","protein_coding","RPL35A","3"
"RPL36","ENSG00000130255","protein_coding","RPL36","15"
"RPL37","ENSG00000145592","protein_coding","RPL37","3"
